,date,words
68,2023-11-26 23:49,"['海鸟', '白糖', '硝铵', '用水', '水', '大手笔', '白糖', '炸药', '普通人', '博主']"
69,2023-11-25 23:39,"['地带', '生效', '部队', '指挥官', '人', '地带', '人数', '人', '名', '儿童', '妇女', '武装', '军事行动', '总统', '地带']"
70,2023-11-21 23:59,"['能源', '天然气']"
71,2023-11-23 23:52,"['提线木偶', '总统', '国务卿', '形象大使', '形象大使', '任期', '漫画', '漫画']"
72,2023-11-22 23:59,"['人民', '声援', '人', '中央', '火车站', '地面', '医院', '惨状', '人', '来源', '世界', '视频']"
73,2023-11-24 23:46,"['导弹', '坦克', '火鸟', '导弹', '神威', '坦克', '神话', '艺术', '画廊', '原创', '诗画', '视频']"
74,2023-11-26 23:49,"['区委', '金砖', '国家', '领导人', '视频', '峰会', '方', '地带', '生效', '志愿军', '烈士', '遗骸', '双', '长空', '礼遇', '回家', '烈士', '遗物', '名字', '水壶', '战', '人民', '疾病', '感染者', '针对性', '措施', '跨科', '跨院', '力量', '能力', '学生', '患病', '作业', '硬性', '抗病毒', '医疗', '用心', '用情', '新闻', '博', '视频', '新闻', '西团', '青']"
75,2023-11-25 23:37,"['阿Q', '精神', '放光芒', '阿Q', '精神', '放光芒', '原因']"
76,2023-11-21 01:02,"['现场', '视频', '军营', '总部', '火山', '火箭弹', '博', '视频']"
77,2023-11-21 23:59,['军营']
78,2023-11-23 23:48,"['世界', '国家', '靠山', '影响力', '国家', '盟友', '国家', '影响力', '道理', '调停者', '原因', '偏架', '因素', '原因', '分歧', '世界', '国际', '利益冲突', '人', '国', '方案', '国家', '国', '方案', '分歧', '代表', '国', '方案', '方案', '世界', '国家', '分歧', '国家', '分歧']"
79,2023-11-22 23:58,"['时间', '人道主义', '名', '妇女儿童', '名', '妇女儿童', '人', '网页', '链接']"
80,2023-11-24 23:45,"['难民营', '地毯式', '视频']"
81,2023-11-26 23:46,"['金砖', '国家', '领导人', '视频', '峰会', '方', '地带', '生效', '志愿军', '烈士', '遗骸', '双', '长空', '礼遇', '回家', '烈士', '遗物', '名字', '水壶', '战', '人民', '疾病', '感染者', '针对性', '措施', '跨科', '跨院', '力量', '能力', '学生', '患病', '作业', '硬性', '抗病毒', '医疗', '用心', '用情', '新闻', '博', '视频']"
82,2023-11-25 23:36,"['天', '名', '人质', '回家']"
83,2023-11-21 00:00,"['女兵', '警告', '女兵', '地带', '边界', '女兵', '部队', '军队', '指挥部', '警告', '警告', '女兵', '警告']"
84,2023-11-21 23:59,"['投胎', '艺术', '战士', '投胎', '国际', '局势', '博', '新知', '博主']"
85,2023-11-23 23:46,"['前线', '局势', '猎人', '水相']"
86,2023-11-22 23:56,"['人', '信', '年轻人', '事件', '手', '故事会', '手', '视频']"
87,2023-11-24 23:44,"['半岛', '电视台', '名', '工人', '图机']"
88,2023-11-25 23:18,"['旅', '影子', '部队', '人质', '过程']"
89,2023-11-25 23:35,"['人质', '现场']"
90,2023-11-20 23:59,"['局面', '暴力', '可能性', '军国主义', '思想']"
91,2023-11-21 16:19,"['情况', '孩子', '腿', '截肢', '手术', '孩子', '记者', '世界', '万物', '视频']"
92,2023-11-21 23:59,"['留学生', '医生']"
93,2023-11-19 23:55,"['书单', '故事书', '柠檬树', '作者', '译者', '出版社', '敌对', '人', '普通人', '故事', '想象', '时段', '杂居', '总会', '暴力', '资料', '世纪', '基督徒']"
