,date,words
28,2023-10-30 18:04,"['儿童', '伤心', '烟', '博', '视频']"
29,2023-08-09 22:34,"['战争', '世界', '侵略国', '领土', '习惯', '战争', '战争']"
30,2021-04-25 12:33,"['战', '科教片', '难民营', '战', '新闻', '片长', '社', '摄制组', '记录', '战役', '视频', '精彩视频', '政府军', '装甲师', '旅', '内行', '门道', '外行', '门道', '地球', '镜头', '博', '视频']"
31,2023-10-21 15:53,"['局势', '人', '地区', '博', '视频']"
32,2023-10-29 10:13,"['石', '老师', '视频']"
33,2021-04-11 18:18,"['战', '社', '经典', '科教片', '巷战', '坦克', '战术', '地区', '客观', '军队', '地区', '战术', '战法', '车臣', '战争', '机翻', '字幕', '团队', '地球', '镜头', '博', '视频']"
34,2023-10-24 16:38,['文化']
35,2023-10-09 21:16,"['大使馆', '国旗', '人民', '爱人']"
36,2022-11-22 22:58,"['大使馆', '大使', '国际', '历史', '国家', '殖民', '无辜', '民众', '恶棍', '大使馆', '血债', '事', '血债', '恭候']"
37,2023-10-29 19:50,"['群里', '八卦', '姐姐', '土著', '单位', '家庭', '独生女', '单身', '成家', '状态', '房有车', '条件', '条件', '孩子', '孩子', '压根', '真人', '房', '车', '公务员', '人', '打麻将', '大姐', '理由', '对方', '情趣', '姐姐', '全家人', '人选', '人', '事情', '婚恋', '市场', '条件', '男', '执念路']"
38,2023-10-23 12:58,"['移民', '后果', '人', '土地', '晚巴', '人', '博', '视频']"
39,2023-10-15 12:12,"['地區', '大陸巴']"
40,2023-10-23 23:26,"['新闻', '殖人', '傻事', '殖人']"
41,2023-10-11 14:43,"['世界', '资本主义', '原罪', '鲜血', '强盗', '资本家', '新衣', '秩序', '维护者', '身份', '顺服', '系统性', '代表', '世界', '嗜血', '本性']"
42,2022-09-17 08:40,"['视频', '星空', '博', '视频']"
43,2023-10-27 18:20,"['地图', '地图', '地带', '地图', '世界', '博', '视频']"
44,2023-10-20 08:35,"['石', '老师', '角度', '另类', '柱', '博', '视频']"
45,2023-10-27 10:39,"['焦点', '神话', '醍醐', '能量', '博', '视频']"
46,2023-10-31 16:39,"['全能', '猪', '头', '猪', '狗', '牛', '结合体', '狗', '护院', '犁地', '视频', '猪', '视频']"
47,2022-10-23 09:55,"['博', '爆料', '田', '时隔', '规划', '铁皮', '厂房', '成窝案', '城管', '历史', '遗精', '错口', '合法', '居民', '地方', '工厂', '特办', '噪声污染', '防治法', '建筑', '消防', '保护伞', '杰作', '部', '政法', '苍蝇', '小', '群众', '老百姓', '时间', '频率', '基层干部', '队伍', '基层干部', '队伍', '群众', '群众', '个人利益', '环境', '网']"
48,2023-08-26 02:04,"['头条', '文章', '浪费', '国家', '财政部门', '浪费', '国家', '财政部门']"
49,2023-10-29 23:01,"['州长', '角', '经济', '博', '视频']"
50,2022-12-03 10:05,"['轰炸机', '轰炸机', '视频']"
51,2023-10-23 08:56,"['字字珠玑', '手', '博', '视频']"
52,2023-10-27 12:33,"['炸', '舆论', '铺垫', '考题', '导火索']"
53,2023-09-26 21:56,"['投资方', '音', '焦点', '兔子', '人', '博', '动漫', '社', '视频']"
54,2023-10-28 08:31,"['命运', '世界', '地面', '规模', '医疗', '音乐', '手绘', '博', '视频']"
55,2023-10-31 14:56,"['地图', '国家', '地理杂志', '主义者']"
56,2023-10-14 13:17,"['关心', '大使馆', '博', '视频']"
57,2023-10-18 19:36,[]
58,2023-10-02 05:14,"['村霸', '保护伞', '市长', '市长', '书记', '村霸', '保护伞', '晚会', '直播间', '价格', '网页', '链接']"
59,2023-10-06 16:16,"['歌会', '主持人', '桥本', '主题', '边界', '交流', '活力', '世界', '局势', '时代', '音乐', '力量', '事情', '国家', '语言', '边界', '人人', '感情', '音乐', '力量', '歌曲', '家人', '朋友', '电视', '里程碑', '现场']"
60,2023-10-15 15:31,[]
61,2023-10-09 00:14,"['视频', '小风', '博', '视频']"
62,2023-10-28 10:16,"['战争', '新闻', '大学', '电影', '名单', '战争', '电影', '电影', '电影', '意味', '母亲', '孩子']"
63,2023-07-20 18:00,"['运动员', '餐厅', '主厨', '做菜', '大运', '故事', '思皮', '视频']"
64,2015-11-14 11:05,"['寒心', '新闻', '世界']"
65,2023-10-25 12:47,"['婴儿', '浑身', '上帝', '鹰', '博', '视频']"
66,2023-10-11 17:09,"['鲶鱼', '官方', '通报', '鲶鱼', '事件', '地球', '博', '视频', '视频']"
67,2023-10-08 18:53,"['焦点', '方巴', '表态', '反动派', '纸老虎']"
68,2023-10-07 05:50,"['市长', '书记', '书记', '政府', '被告', '被告方', '被告', '农业', '农村', '局长', '村霸', '保护伞', '合法', '网页', '链接']"
69,2023-10-09 02:15,"['村霸', '保护伞', '法院', '法官', '伪造证据', '人民', '红军', '锄奸', '村干部', '原', '视频', '医药', '风暴', '新闻', '市长', '书记', '村霸', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '网页', '链接']"
70,2023-10-09 02:27,"['村霸', '保护伞', '市长', '书记', '法院', '法官', '伪造证据', '人民', '红军', '锄奸', '医药', '风暴', '村干部', '原', '视频', '新闻', '市长', '书记', '村霸', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '网页', '链接']"
71,2023-09-29 06:04,"['村霸', '保护伞', '市长', '书记', '直播间', '价格', '医药', '风暴', '新闻', '市长', '书记', '村霸', '保护伞', '合法', '农业', '农村', '局长', '保护伞', '合法', '事', '网页', '链接', '网页', '链接', '保护伞', '合法', '网页', '链接']"
